"","StandNumber","Station","StationID","PointCountID","YEAR","Date","Time","Round","SP","Abundance.x"
"89",2,2,5,1563,2002,"Tuesday, June 11, 2002",716,1,"MOWA",0
"90",2,2,5,1755,2002,"Tuesday, June 18, 2002",518,2,"MOWA",0
"91",2,2,5,2176,2005,"Tuesday, June 14, 2005",552,1,"MOWA",0
"92",2,2,5,2331,2005,"Saturday, June 25, 2005",733,2,"MOWA",0
"93",2,2,5,2573,2008,"Thursday, June 12, 2008",516,1,"MOWA",0
"94",2,2,5,2814,2008,"Friday, June 20, 2008",810,2,"MOWA",0
"95",2,2,5,3111,2011,"Sunday, June 05, 2011",801,1,"MOWA",0
"96",2,2,5,3525,2011,"Wednesday, June 15, 2011",800,2,"MOWA",0
"97",2,2,5,3707,2014,"Friday, June 06, 2014",743,1,"MOWA",0
"98",2,2,5,4085,2014,"Monday, June 16, 2014",806,2,"MOWA",0
"99",2,2,5,4173,2017,"Thursday, June 08, 2017",901,1,"MOWA",0
"100",2,2,5,4251,2017,"Saturday, June 24, 2017",815,2,"MOWA",0
"101",2,3,6,41,2000,"Saturday, June 10, 2000",648,1,"MOWA",0
"102",2,3,6,42,2000,"Friday, June 16, 2000",651,2,"MOWA",0
"103",2,3,6,43,2001,"Wednesday, June 06, 2001",815,1,"MOWA",0
"104",2,3,6,44,1999,"Wednesday, June 16, 1999",724,1,"MOWA",0
"105",2,3,6,45,1998,"Tuesday, June 09, 1998",710,1,"MOWA",0
"106",2,3,6,46,1998,"Saturday, June 20, 1998",729,2,"MOWA",0
"107",2,3,6,47,1999,"Tuesday, June 22, 1999",730,2,"MOWA",0
"108",2,3,6,48,2001,"Monday, June 25, 2001",758,2,"MOWA",0
"109",2,3,6,1564,2002,"Tuesday, June 11, 2002",738,1,"MOWA",0
"110",2,3,6,1753,2002,"Tuesday, June 18, 2002",455,2,"MOWA",0
"111",2,3,6,2177,2005,"Tuesday, June 14, 2005",617,1,"MOWA",0
"112",2,3,6,2332,2005,"Saturday, June 25, 2005",754,2,"MOWA",0
"113",2,3,6,2574,2008,"Thursday, June 12, 2008",544,1,"MOWA",0
"114",2,3,6,2815,2008,"Friday, June 20, 2008",834,2,"MOWA",0
"115",2,3,6,3112,2011,"Sunday, June 05, 2011",825,1,"MOWA",0
"116",2,3,6,3526,2011,"Wednesday, June 15, 2011",830,2,"MOWA",0
"117",2,3,6,3708,2014,"Friday, June 06, 2014",807,1,"MOWA",0
"118",2,3,6,4086,2014,"Monday, June 16, 2014",834,2,"MOWA",0
"119",2,3,6,4174,2017,"Thursday, June 08, 2017",924,1,"MOWA",0
"120",2,3,6,4252,2017,"Saturday, June 24, 2017",846,2,"MOWA",0
"121",3,1,7,49,2001,"Friday, June 08, 2001",750,1,"MOWA",0
"122",3,1,7,50,2001,"Wednesday, June 20, 2001",717,2,"MOWA",0
"123",3,1,7,51,2000,"Tuesday, June 20, 2000",622,2,"MOWA",0
"124",3,1,7,52,2000,"Monday, June 12, 2000",631,1,"MOWA",0
"125",3,1,7,53,1999,"Monday, June 14, 1999",703,1,"MOWA",0
"126",3,1,7,54,1998,"Monday, June 29, 1998",641,2,"MOWA",0
"127",3,1,7,55,1998,"Sunday, June 14, 1998",654,1,"MOWA",0
"128",3,1,7,56,1999,"Tuesday, June 22, 1999",640,2,"MOWA",0
"129",3,1,7,1609,2002,"Wednesday, June 12, 2002",715,1,"MOWA",0
"130",3,1,7,1801,2002,"Friday, June 21, 2002",657,2,"MOWA",0
"131",3,1,7,2178,2005,"Tuesday, June 07, 2005",616,1,"MOWA",0
"132",3,1,7,2333,2005,"Thursday, June 16, 2005",453,2,"MOWA",0
"133",3,1,7,2575,2008,"Wednesday, June 04, 2008",625,1,"MOWA",0
"134",3,1,7,2816,2008,"Monday, June 16, 2008",601,2,"MOWA",0
"135",3,1,7,3232,2011,"Sunday, June 12, 2011",716,1,"MOWA",0
"136",3,1,7,3582,2011,"Tuesday, June 21, 2011",802,2,"MOWA",0
"137",3,1,7,3765,2014,"Sunday, June 08, 2014",733,1,"MOWA",0
"138",3,1,7,4134,2014,"Sunday, June 15, 2014",620,2,"MOWA",0
"139",3,1,7,4175,2017,"Thursday, June 08, 2017",629,1,"MOWA",0
"140",3,1,7,4253,2017,"Sunday, June 25, 2017",548,2,"MOWA",0
"141",3,2,8,57,1999,"Tuesday, June 22, 1999",700,2,"MOWA",0
"142",3,2,8,58,2001,"Wednesday, June 20, 2001",737,2,"MOWA",0
"143",3,2,8,59,2001,"Friday, June 08, 2001",815,1,"MOWA",0
"144",3,2,8,60,1998,"Sunday, June 14, 1998",718,1,"MOWA",0
"145",3,2,8,61,2000,"Monday, June 12, 2000",658,1,"MOWA",0
"146",3,2,8,62,1999,"Monday, June 14, 1999",729,1,"MOWA",0
"147",3,2,8,63,1998,"Monday, June 29, 1998",704,2,"MOWA",0
"148",3,2,8,64,2000,"Tuesday, June 20, 2000",645,2,"MOWA",0
"149",3,2,8,1610,2002,"Wednesday, June 12, 2002",736,1,"MOWA",0
"150",3,2,8,1802,2002,"Friday, June 21, 2002",718,2,"MOWA",0
"151",3,2,8,2179,2005,"Tuesday, June 07, 2005",636,1,"MOWA",0
"152",3,2,8,2334,2005,"Thursday, June 16, 2005",513,2,"MOWA",0
"153",3,2,8,2576,2008,"Wednesday, June 04, 2008",655,1,"MOWA",0
"154",3,2,8,2817,2008,"Monday, June 16, 2008",626,2,"MOWA",0
"155",3,2,8,3233,2011,"Sunday, June 12, 2011",739,1,"MOWA",0
"156",3,2,8,3583,2011,"Tuesday, June 21, 2011",827,2,"MOWA",0
"157",3,2,8,3766,2014,"Sunday, June 08, 2014",801,1,"MOWA",0
"158",3,2,8,4135,2014,"Sunday, June 15, 2014",645,2,"MOWA",0
"159",3,2,8,4176,2017,"Thursday, June 08, 2017",712,1,"MOWA",0
"160",3,2,8,4255,2017,"Sunday, June 25, 2017",621,2,"MOWA",0
"161",3,3,9,65,1999,"Monday, June 14, 1999",811,1,"MOWA",0
"162",3,3,9,66,2001,"Friday, June 08, 2001",836,1,"MOWA",0
"163",3,3,9,67,2000,"Tuesday, June 20, 2000",705,2,"MOWA",0
"164",3,3,9,68,2001,"Wednesday, June 20, 2001",800,2,"MOWA",0
"165",3,3,9,69,1998,"Monday, June 29, 1998",726,2,"MOWA",0
"166",3,3,9,70,1998,"Sunday, June 14, 1998",740,1,"MOWA",0
"167",3,3,9,71,2000,"Monday, June 12, 2000",722,1,"MOWA",0
"168",3,3,9,72,1999,"Tuesday, June 22, 1999",722,2,"MOWA",0
"169",3,3,9,1611,2002,"Wednesday, June 12, 2002",756,1,"MOWA",0
"170",3,3,9,1803,2002,"Friday, June 21, 2002",739,2,"MOWA",0
"171",3,3,9,2180,2005,"Tuesday, June 07, 2005",656,1,"MOWA",0
"172",3,3,9,2335,2005,"Thursday, June 16, 2005",533,2,"MOWA",0
"173",3,3,9,2577,2008,"Wednesday, June 04, 2008",722,1,"MOWA",0
"174",3,3,9,2818,2008,"Monday, June 16, 2008",651,2,"MOWA",0
"175",3,3,9,3234,2011,"Sunday, June 12, 2011",801,1,"MOWA",0
"176",3,3,9,3584,2011,"Tuesday, June 21, 2011",852,2,"MOWA",0
"177",3,3,9,3767,2014,"Sunday, June 08, 2014",829,1,"MOWA",0
"178",3,3,9,4136,2014,"Sunday, June 15, 2014",709,2,"MOWA",0
"179",3,3,9,4177,2017,"Thursday, June 08, 2017",754,1,"MOWA",0
"180",3,3,9,4257,2017,"Sunday, June 25, 2017",655,2,"MOWA",0
"181",4,1,10,73,1999,"Tuesday, June 22, 1999",528,2,"MOWA",0
"182",4,1,10,74,2001,"Friday, June 08, 2001",635,1,"MOWA",0
"183",4,1,10,75,2000,"Monday, June 12, 2000",522,1,"MOWA",0
"184",4,1,10,76,2001,"Wednesday, June 20, 2001",835,2,"MOWA",0
"185",4,1,10,77,1999,"Monday, June 14, 1999",550,1,"MOWA",0
"186",4,1,10,78,1998,"Monday, June 29, 1998",534,2,"MOWA",0
"187",4,1,10,79,1998,"Sunday, June 14, 1998",546,1,"MOWA",1
"188",4,1,10,80,2000,"Tuesday, June 20, 2000",744,2,"MOWA",0
"189",4,1,10,1612,2002,"Wednesday, June 12, 2002",610,1,"MOWA",0
"190",4,1,10,1798,2002,"Friday, June 21, 2002",555,2,"MOWA",0
"191",4,1,10,2181,2005,"Tuesday, June 07, 2005",506,1,"MOWA",0
"192",4,1,10,2336,2005,"Thursday, June 16, 2005",653,2,"MOWA",0
"193",4,1,10,2578,2008,"Wednesday, June 04, 2008",455,1,"MOWA",0
"194",4,1,10,2819,2008,"Monday, June 16, 2008",448,2,"MOWA",0
"195",4,1,10,3229,2011,"Sunday, June 12, 2011",601,1,"MOWA",0
"196",4,1,10,3585,2011,"Tuesday, June 21, 2011",623,2,"MOWA",0
"197",4,1,10,3762,2014,"Sunday, June 08, 2014",616,1,"MOWA",0
"198",4,1,10,4156,2014,"Sunday, June 15, 2014",505,2,"MOWA",0
"199",4,1,10,4178,2017,"Thursday, June 08, 2017",450,1,"MOWA",0
"200",4,1,10,4261,2017,"Sunday, June 25, 2017",754,2,"MOWA",0
"201",4,2,11,81,2000,"Monday, June 12, 2000",544,1,"MOWA",0
"202",4,2,11,82,2001,"Friday, June 08, 2001",702,1,"MOWA",0
"203",4,2,11,83,2001,"Wednesday, June 20, 2001",633,2,"MOWA",0
"204",4,2,11,84,2000,"Tuesday, June 20, 2000",545,2,"MOWA",0
"205",4,2,11,85,1999,"Tuesday, June 22, 1999",554,2,"MOWA",0
"206",4,2,11,86,1999,"Monday, June 14, 1999",615,1,"MOWA",0
"207",4,2,11,87,1998,"Sunday, June 14, 1998",609,1,"MOWA",0
"208",4,2,11,88,1998,"Monday, June 29, 1998",557,2,"MOWA",0
"209",4,2,11,1613,2002,"Wednesday, June 12, 2002",628,1,"MOWA",0
"210",4,2,11,1799,2002,"Friday, June 21, 2002",612,2,"MOWA",0
"211",4,2,11,2182,2005,"Tuesday, June 07, 2005",528,1,"MOWA",0
"212",4,2,11,2337,2005,"Thursday, June 16, 2005",628,2,"MOWA",0
"213",4,2,11,2579,2008,"Wednesday, June 04, 2008",528,1,"MOWA",0
"214",4,2,11,2820,2008,"Monday, June 16, 2008",515,2,"MOWA",0
"215",4,2,11,3230,2011,"Sunday, June 12, 2011",629,1,"MOWA",0
"216",4,2,11,3586,2011,"Tuesday, June 21, 2011",701,2,"MOWA",0
"217",4,2,11,3763,2014,"Sunday, June 08, 2014",643,1,"MOWA",0
"218",4,2,11,4157,2014,"Sunday, June 15, 2014",533,2,"MOWA",0
"219",4,2,11,4179,2017,"Thursday, June 08, 2017",528,1,"MOWA",0
"220",4,2,11,4258,2017,"Sunday, June 25, 2017",450,2,"MOWA",0
"221",4,3,12,89,2000,"Tuesday, June 20, 2000",602,2,"MOWA",0
"222",4,3,12,90,1998,"Monday, June 29, 1998",617,2,"MOWA",0
"223",4,3,12,91,2001,"Wednesday, June 20, 2001",651,2,"MOWA",0
"224",4,3,12,92,2001,"Friday, June 08, 2001",724,1,"MOWA",0
"225",4,3,12,93,1998,"Sunday, June 14, 1998",629,1,"MOWA",0
"226",4,3,12,94,1999,"Monday, June 14, 1999",637,1,"MOWA",0
"227",4,3,12,95,1999,"Tuesday, June 22, 1999",614,2,"MOWA",0
"228",4,3,12,96,2000,"Monday, June 12, 2000",606,1,"MOWA",0
"229",4,3,12,1614,2002,"Wednesday, June 12, 2002",647,1,"MOWA",0
"230",4,3,12,1800,2002,"Friday, June 21, 2002",630,2,"MOWA",0
"231",4,3,12,2183,2005,"Tuesday, June 07, 2005",548,1,"MOWA",0
"232",4,3,12,2338,2005,"Thursday, June 16, 2005",609,2,"MOWA",0
"233",4,3,12,2580,2008,"Wednesday, June 04, 2008",555,1,"MOWA",0
"234",4,3,12,2821,2008,"Monday, June 16, 2008",535,2,"MOWA",0
"235",4,3,12,3231,2011,"Sunday, June 12, 2011",651,1,"MOWA",0
"236",4,3,12,3587,2011,"Tuesday, June 21, 2011",735,2,"MOWA",0
"237",4,3,12,3764,2014,"Sunday, June 08, 2014",703,1,"MOWA",0
"238",4,3,12,4158,2014,"Sunday, June 15, 2014",555,2,"MOWA",0
"239",4,3,12,4180,2017,"Thursday, June 08, 2017",553,1,"MOWA",0
"240",4,3,12,4260,2017,"Sunday, June 25, 2017",515,2,"MOWA",0
"241",5,1,13,97,1999,"Tuesday, June 22, 1999",531,2,"MOWA",0
"242",5,1,13,98,2001,"Friday, June 08, 2001",457,1,"MOWA",0
"243",5,1,13,99,2000,"Tuesday, June 06, 2000",548,1,"MOWA",0
"244",5,1,13,100,2001,"Monday, June 25, 2001",551,2,"MOWA",0
"245",5,1,13,101,1999,"Monday, June 07, 1999",420,1,"MOWA",0
"246",5,1,13,102,1998,"Sunday, June 28, 1998",641,2,"MOWA",0
"247",5,1,13,103,1998,"Tuesday, June 09, 1998",537,1,"MOWA",0
"248",5,1,13,104,2000,"Friday, June 16, 2000",404,2,"MOWA",0
"249",5,1,13,1513,2002,"Sunday, June 09, 2002",553,1,"MOWA",0
"250",5,1,13,1762,2002,"Tuesday, June 18, 2002",736,2,"MOWA",0
"251",5,1,13,2072,2005,"Tuesday, June 07, 2005",620,1,"MOWA",0
"252",5,1,13,2339,2005,"Thursday, June 23, 2005",710,2,"MOWA",0
"253",5,1,13,2581,2008,"Tuesday, June 10, 2008",750,1,"MOWA",0
"254",5,1,13,2822,2008,"Thursday, June 19, 2008",724,2,"MOWA",0
"255",5,1,13,3097,2011,"Sunday, June 05, 2011",716,1,"MOWA",0
"256",5,1,13,3527,2011,"Wednesday, June 15, 2011",618,2,"MOWA",0
"257",5,1,13,3694,2014,"Friday, June 06, 2014",458,1,"MOWA",0
"258",5,1,13,3940,2014,"Monday, June 16, 2014",735,2,"MOWA",0
"259",5,1,13,4181,2017,"Tuesday, June 06, 2017",634,1,"MOWA",0
"260",5,1,13,4263,2017,"Saturday, June 24, 2017",448,2,"MOWA",0
"261",5,2,14,105,2000,"Tuesday, June 06, 2000",608,1,"MOWA",0
"262",5,2,14,106,2001,"Monday, June 25, 2001",609,2,"MOWA",0
"263",5,2,14,107,2001,"Friday, June 08, 2001",517,1,"MOWA",0
"264",5,2,14,108,2000,"Friday, June 16, 2000",422,2,"MOWA",0
"265",5,2,14,109,1999,"Tuesday, June 22, 1999",551,2,"MOWA",0
"266",5,2,14,110,1999,"Monday, June 07, 1999",521,1,"MOWA",0
"267",5,2,14,111,1998,"Tuesday, June 09, 1998",559,1,"MOWA",0
"268",5,2,14,112,1998,"Sunday, June 28, 1998",659,2,"MOWA",0
"269",5,2,14,1514,2002,"Sunday, June 09, 2002",610,1,"MOWA",0
"270",5,2,14,1763,2002,"Tuesday, June 18, 2002",755,2,"MOWA",0
"271",5,2,14,2073,2005,"Tuesday, June 07, 2005",705,1,"MOWA",0
"272",5,2,14,2340,2005,"Thursday, June 23, 2005",726,2,"MOWA",0
"273",5,2,14,2582,2008,"Tuesday, June 10, 2008",812,1,"MOWA",0
"274",5,2,14,2823,2008,"Thursday, June 19, 2008",744,2,"MOWA",0
"275",5,2,14,3098,2011,"Sunday, June 05, 2011",737,1,"MOWA",0
"276",5,2,14,3528,2011,"Wednesday, June 15, 2011",642,2,"MOWA",0
"277",5,2,14,3695,2014,"Friday, June 06, 2014",520,1,"MOWA",0
"278",5,2,14,3941,2014,"Monday, June 16, 2014",755,2,"MOWA",0
"279",5,2,14,4182,2017,"Thursday, June 08, 2017",656,1,"MOWA",0
"280",5,2,14,4264,2017,"Saturday, June 24, 2017",511,2,"MOWA",0
"281",5,3,15,113,2000,"Tuesday, June 06, 2000",633,1,"MOWA",1
"282",5,3,15,114,1999,"Tuesday, June 22, 1999",615,2,"MOWA",0
"283",5,3,15,115,2001,"Monday, June 25, 2001",627,2,"MOWA",0
"284",5,3,15,116,2001,"Friday, June 08, 2001",538,1,"MOWA",0
"285",5,3,15,117,1998,"Tuesday, June 09, 1998",625,1,"MOWA",0
"286",5,3,15,118,1999,"Monday, June 07, 1999",451,1,"MOWA",0
"287",5,3,15,119,1998,"Sunday, June 28, 1998",719,2,"MOWA",0
"288",5,3,15,120,2000,"Friday, June 16, 2000",442,2,"MOWA",0
"289",5,3,15,1515,2002,"Sunday, June 09, 2002",629,1,"MOWA",0
"290",5,3,15,1764,2002,"Tuesday, June 18, 2002",812,2,"MOWA",0
"291",5,3,15,2074,2005,"Tuesday, June 07, 2005",646,1,"MOWA",0
"292",5,3,15,2341,2005,"Thursday, June 23, 2005",744,2,"MOWA",0
"293",5,3,15,2583,2008,"Tuesday, June 10, 2008",834,1,"MOWA",0
"294",5,3,15,2824,2008,"Thursday, June 19, 2008",805,2,"MOWA",0
"295",5,3,15,3099,2011,"Sunday, June 05, 2011",756,1,"MOWA",0
"296",5,3,15,3529,2011,"Wednesday, June 15, 2011",706,2,"MOWA",0
"297",5,3,15,3696,2014,"Friday, June 06, 2014",540,1,"MOWA",0
"298",5,3,15,3942,2014,"Monday, June 16, 2014",818,2,"MOWA",0
"299",5,3,15,4183,2017,"Tuesday, June 06, 2017",720,1,"MOWA",0
"300",5,3,15,4265,2017,"Saturday, June 24, 2017",542,2,"MOWA",0
"301",6,1,16,121,2001,"Monday, June 25, 2001",440,2,"MOWA",1
"302",6,1,16,122,1998,"Tuesday, June 09, 1998",400,1,"MOWA",0
"303",6,1,16,123,1998,"Sunday, June 28, 1998",530,2,"MOWA",0
"304",6,1,16,124,1999,"Monday, June 07, 1999",551,1,"MOWA",0
"305",6,1,16,125,1999,"Tuesday, June 22, 1999",454,2,"MOWA",0
"306",6,1,16,126,2000,"Tuesday, June 06, 2000",410,1,"MOWA",0
"307",6,1,16,127,2000,"Friday, June 16, 2000",523,2,"MOWA",0
"308",6,1,16,128,2001,"Friday, June 08, 2001",626,1,"MOWA",1
"309",6,1,16,1512,2002,"Sunday, June 09, 2002",523,1,"MOWA",1
"310",6,1,16,1759,2002,"Tuesday, June 18, 2002",623,2,"MOWA",0
"311",6,1,16,2081,2005,"Tuesday, June 07, 2005",738,1,"MOWA",1
"312",6,1,16,2342,2005,"Thursday, June 23, 2005",450,2,"MOWA",0
"313",6,1,16,2584,2008,"Saturday, June 14, 2008",722,1,"MOWA",0
"314",6,1,16,2825,2008,"Friday, June 20, 2008",610,2,"MOWA",0
"315",6,1,16,3094,2011,"Sunday, June 05, 2011",608,1,"MOWA",0
"316",6,1,16,3533,2011,"Wednesday, June 15, 2011",457,2,"MOWA",1
"317",6,1,16,3699,2014,"Friday, June 06, 2014",704,1,"MOWA",1
"318",6,1,16,3937,2014,"Monday, June 16, 2014",450,2,"MOWA",1
"319",6,1,16,4184,2017,"Tuesday, June 06, 2017",807,1,"MOWA",0
"320",6,1,16,4266,2017,"Saturday, June 24, 2017",632,2,"MOWA",0
"321",6,2,17,129,2001,"Friday, June 08, 2001",713,1,"MOWA",0
"322",6,2,17,130,2000,"Friday, June 16, 2000",546,2,"MOWA",0
"323",6,2,17,131,2000,"Tuesday, June 06, 2000",449,1,"MOWA",0
"324",6,2,17,132,1999,"Tuesday, June 22, 1999",429,2,"MOWA",0
"325",6,2,17,133,1999,"Monday, June 07, 1999",614,1,"MOWA",1
"326",6,2,17,134,1998,"Tuesday, June 09, 1998",421,1,"MOWA",0
"327",6,2,17,135,2001,"Monday, June 25, 2001",502,2,"MOWA",0
"328",6,2,17,136,1998,"Sunday, June 28, 1998",552,2,"MOWA",0
"329",6,2,17,1510,2002,"Sunday, June 09, 2002",459,1,"MOWA",0
"330",6,2,17,1760,2002,"Tuesday, June 18, 2002",645,2,"MOWA",0
"331",6,2,17,2082,2005,"Tuesday, June 07, 2005",818,1,"MOWA",0
"332",6,2,17,2343,2005,"Thursday, June 23, 2005",511,2,"MOWA",0
"333",6,2,17,2585,2008,"Saturday, June 14, 2008",749,1,"MOWA",0
"334",6,2,17,2826,2008,"Friday, June 20, 2008",635,2,"MOWA",0
"335",6,2,17,3095,2011,"Sunday, June 05, 2011",629,1,"MOWA",0
"336",6,2,17,3534,2011,"Wednesday, June 15, 2011",527,2,"MOWA",0
"337",6,2,17,3697,2014,"Friday, June 06, 2014",623,1,"MOWA",0
"338",6,2,17,3938,2014,"Monday, June 16, 2014",515,2,"MOWA",0
"339",6,2,17,4186,2017,"Tuesday, June 06, 2017",900,1,"MOWA",0
"340",6,2,17,4267,2017,"Saturday, June 24, 2017",703,2,"MOWA",0
"341",6,3,18,137,2000,"Tuesday, June 06, 2000",516,1,"MOWA",0
"342",6,3,18,138,2001,"Friday, June 08, 2001",653,1,"MOWA",0
